category,total_revenue,total_orders,avg_review
health_beauty,1252404.85,8771,4.14
watches_gifts,1197565.48,5576,4.02
bed_bath_table,1040006.32,9312,3.9
sports_leisure,986779.94,7667,4.11
computers_accessories,914579.39,6649,3.93
furniture_decor,729608.82,6395,3.9
housewares,630058.22,5843,4.06
cool_stuff,629321.71,3596,4.15
auto,586669.9,3877,4.07
garden_tools,482811.89,3495,4.04
toys,479702.1,3853,4.16
baby,408716.75,2861,4.01
perfumery,398578.07,3150,4.16
telephony,320013.07,4167,3.95
office_furniture,272339.82,1263,3.49
stationery,229835.78,2295,4.19
computers,214198.13,178,4.17
pet_shop,213522.92,1701,4.19
small_appliances,189284.28,623,4.15
musical_instruments,188876.46,622,4.15
electronics,156383.07,2531,4.04
consoles_games,155906.27,1052,4.02
fashion_bags_accessories,152836.42,1854,4.14
construction_tools_construction,143797.0,743,4.05
luggage_accessories,139845.2,1030,4.32
home_appliances_2,113216.49,232,4.14
home_appliances,82973.75,761,4.17
home_construction,82877.47,487,3.94
agro_industry_and_commerce,72530.47,182,4.0
furniture_living_room,68245.6,417,3.9
fixed_telephony,59023.02,214,3.68
home_confort,58051.84,395,3.83
air_conditioning,54330.06,249,3.97
audio,50458.71,347,3.83
small_appliances_home_oven_and_coffee,47445.71,75,4.3
books_general_interest,46580.13,508,4.45
kitchen_dining_laundry_garden_furniture,46204.47,246,3.96
construction_tools_lights,40478.23,241,4.05
construction_tools_safety,40136.52,165,3.84
industry_commerce_and_business,39559.61,233,4.1
food,28935.41,445,4.22
market_place,28313.18,278,4.02
costruction_tools_garden,25769.74,194,4.05
art,24037.74,200,3.94
fashion_shoes,23368.07,236,4.23
drinks,22415.96,296,4.05
signaling_and_security,21338.95,138,4.09
furniture_bedroom,20278.78,95,4.12
books_technical,19040.09,257,4.37
costruction_tools_tools,15774.25,94,4.44
food_drink,15245.47,226,4.32
fashion_male_clothing,10602.82,111,3.64
fashion_underwear_beach,9491.65,120,3.98
christmas_supplies,8090.1,126,4.02
cine_photo,6949.36,65,4.21
tablets_printing_image,6508.43,77,4.12
music,6034.35,38,4.21
dvds_blu_ray,5982.49,58,4.08
books_imported,4639.85,53,4.4
party_supplies,4485.18,39,3.77
furniture_mattress_and_upholstery,4368.08,38,3.82
fashio_female_clothing,2889.44,39,3.78
fashion_sport,2144.5,27,4.26
la_cuisine,1917.99,12,4.0
arts_and_craftmanship,1814.01,23,4.13
diapers_and_hygiene,1567.59,27,3.26
flowers,1000.24,28,4.42
cds_dvds_musicals,730.0,12,4.64
home_comfort_2,721.57,23,3.63
fashion_childrens_clothes,569.85,8,4.5
security_and_services,283.29,2,2.5
